total de voitures,Ménages sans voiture,Ménages avec une voiture,Ménages avec deux voitures ou plus,Ménages avec place(s) de stationnement,Nombre total d'accidents,Nombre de personnes tuées,Nombre de personnes indemnes,Nombre de personnes blessées, - dont blessés graves, - dont blessés légers,ville,lien
84.0,16.0,27.0,57.0,61.0,,,,,,,Clamecy (02880),/management/ville/clamecy/ville-02198
297.0,57.0,102.0,195.0,265.0,1.0,0.0,1.0,2.0,0.0,2.0,L'Abergement-Clémenciat (01400),/management/ville/l-abergement-clemenciat/ville-01001
337.0,46.0,136.0,200.0,287.0,1.0,0.0,0.0,1.0,0.0,1.0,Saint-Didier-d'Aussiat (01340),/management/ville/saint-didier-d-aussiat/ville-01346
75.0,32.0,17.0,58.0,67.0,1.0,0.0,2.0,2.0,0.0,2.0,Montgobert (02600),/management/ville/montgobert/ville-02506
106.0,36.0,54.0,52.0,90.0,1.0,0.0,1.0,1.0,1.0,0.0,Villeret (02420),/management/ville/villeret/ville-02808
347.0,63.0,119.0,228.0,311.0,1.0,1.0,1.0,0.0,0.0,0.0,Serbannes (03700),/management/ville/serbannes/ville-03271
156.0,79.0,86.0,70.0,129.0,4.0,0.0,3.0,6.0,0.0,6.0,La Fare-en-Champsaur (05500),/management/ville/la-fare-en-champsaur/ville-05054
401.0,51.0,125.0,276.0,333.0,1.0,0.0,0.0,2.0,2.0,0.0,Talencieux (07340),/management/ville/talencieux/ville-07317
31.0,12.0,16.0,14.0,25.0,1.0,0.0,0.0,3.0,2.0,1.0,Montgon (08390),/management/ville/montgon/ville-08301
155.0,186.0,71.0,84.0,142.0,1.0,0.0,0.0,1.0,1.0,0.0,Arcens (07310),/management/ville/arcens/ville-07012
265.0,129.0,115.0,150.0,179.0,3.0,0.0,1.0,4.0,4.0,0.0,Dun (09600),/management/ville/dun/ville-09107
122.0,16.0,44.0,78.0,107.0,2.0,0.0,4.0,2.0,1.0,1.0,Sommeval (10320),/management/ville/sommeval/ville-10371
15.0,5.0,5.0,10.0,16.0,1.0,0.0,2.0,1.0,1.0,0.0,La Chaise (10500),/management/ville/la-chaise/ville-10072
351.0,92.0,137.0,215.0,291.0,1.0,0.0,1.0,1.0,1.0,0.0,Mas-Saintes-Puelles (11400),/management/ville/mas-saintes-puelles/ville-11225
